Title,Link,Policy Area,Focus,Country Coverage,Data Format,Authors,Type,Level of Observation
COVID Analysis and Mapping of Policies (AMP) site,https://covidamp.org/,Non-Pharmaceutical Interventions, non-pharmaceutical interventions. Available on a sub-national level for the USA.,USA; NGA; DJI, html; xlsx,"[Georgetown Global Health Science & Security](https://twitter.com/georgetown_ghss);
[Talus Analytics, LLC](https://twitter.com/talusanalytics/);
[NTI](https://twitter.com/NTI_WMD)",Policy Tracker,national; sub-national
COVID19 Afrique Données Recherche,https://www.covid19afrique.com/,Non-Pharmaceutical Interventions; Cases and Deaths, non-pharmaceutical interventions; cases and deaths (in French) for Francophone African countries and countries of Economic Community of West African States (ECOWAS),Africa; NGA; NER; BEN; CMR; CIV; BFA; MLI; MDG; GIN; GHA; SEN; TCD; TGO; CPV; LBR; GNB; GMB; SLE; MRT; MAR; DZA; TUN; BDI; RWA; GAB; COG; COD; DJI; SYC; COM; MUS; MDG, html,"[Emmanuel Bonnet](https://twitter.com/@mavalo76);
[Valéry Ridde](https://twitter.com/ValeryRidde)",Policy Tracker,national
COVID19 Global Travel Navigator,https://c19navigator.mayerbrown.com/,Non-Pharmaceutical Interventions," travel restrictions, quarantine requirements for travellers",worldwide; AFG; ALB; DZA; ASM; AND; AGO; AIA; ARG; ARM; ABW; AUS; AUT; AZE; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BMU; BTN; BOL; BIH; BWA; BRA; BGR; BFA; BDI; KHM; CMR; CAN; CPV; CYM; CAF; TCD; CHL; CHN; COL; COM; COG; COK; CRI; HRV; CUB; CYP; CZE; DNK; DJI; DMA; DOM; ECU; EGY; SLV; GNQ; ERI; EST; ETH; FJI; FIN; FRA; GUF; PYF; GAB; GMB; GEO; DEU; GHA; GIB; GRC; GRL; GRD; GLP; GUM; GTM; GIN; GNB; GUY; HTI; HND; HKG; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KIR; PRK; KOR; KWT; KGZ; LVA; LBN; LSO; LBR; LBY; LIE; LTU; LUX; MDG; MWI; MYS; MDV; MLI; MLT; MHL; MTQ; MRT; MUS; MYT; MEX; MNG; MSR; MAR; MOZ; MMR; NAM; NRU; NPL; NLD; NCL; NZL; NIC; NER; NGA; NIU; MNP; NOR; OMN; PAK; PLW; PAN; PNG; PRY; PER; PHL; POL; PRT; PRI; QAT; REU; ROU; RUS; RUS; RWA; SHN; KNA; LCA; WSM; SAU; SEN; SYC; SLE; SGP; SVK; SVN; SLB; SOM; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; TWN; TJK; THA; TGO; TON; TUN; TUR; TKM; TUV; UGA; UKR; ARE; GBR; URY; UZB; VUT; VEN; VNM; WLF; YEM; ZMB; ZWE; MNE; SRB; SSD; XKX; USA, pdf; html,[Mayer Brown](https://twitter.com/Mayer_Brown),Policy Tracker,national
EY global immigration tracker,https://www.ey.com/en_lu/tax/how-covid-19-is-disrupting-immigration-policies-and-worker-mobility-a-tracker,Non-Pharmaceutical Interventions," mobility and immigration regulations, such as entry restrictions, quarantine orders for newly admitted citizens, visa suspensions or changes in eligibility criteria for visa applications",worldwide; ALB; AGO; ARG; AUS; AUT; BHR; BEL; BOL; BWA; BRA; BGR; CAN; CHL; CHN; COL; COG; HRV; CUB; CYP; CZE; DNK; DMA; DOM; ECU; EGY; SLV; EST; ETH; FJI; FIN; FRA; GAB; DEU; GHA; GRC; GTM; GIN; HKG; HUN; ISL; IND; IDN; IRL; ISR; ITA; JAM; JPN; JOR; KOR; KWT; LVA; LBN; LIE; LTU; LUX; MDG; MYS; MLT; MUS; MEX; MNG; MOZ; MMR; NLD; NZL; NER; NGA; NOR; OMN; PAK; PAN; PNG; PRY; PER; PHL; POL; PRT; QAT; ROU; RUS; RWA; SAU; SGP; SVK; SVN; SLB; ZAF; ESP; LKA; SWE; CHE; TWN; THA; TTO; UKR; ARE; GBR; URY; VEN; VNM; ZMB; ZWE; GGY; IMN; JEY; SRB; XKX; USA, pdf,[EY](https://twitter.com/EYnews),Policy Tracker,national
IMF policy tracker,https://t.co/tzG6SIT4o7?amp=1,Macroeconomic and Financial Policy," fiscal, monetary and macroprudential",worldwide; AFG; ALB; DZA; AGO; AIA; ATG; ARG; ARM; ABW; AUS; AUT; AZE; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BTN; BOL; BIH; BWA; BRA; BRN; BGR; BFA; BDI; KHM; CMR; CAN; CAF; TCD; CHL; CHN; COL; COM; COG; CRI; HRV; CUB; CYP; CZE; DNK; DJI; DMA; DOM; ECU; EGY; SLV; GNQ; ERI; EST; ETH; FJI; FIN; FRA; GUF; GAB; GMB; GEO; DEU; GHA; GRC; GRD; GTM; GIN; GNB; GUY; HTI; HND; HKG; HUN; ISL; IND; IDN; IRN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KIR; KWT; LVA; LBN; LSO; LBR; LBY; LTU; LUX; MAC; MDG; MWI; MYS; MDV; MLI; MLT; MHL; MRT; MUS; MEX; MNG; MSR; MAR; MOZ; MMR; NAM; NRU; NPL; NLD; NCL; NZL; NIC; NER; NGA; NOR; OMN; PAK; PLW; PAN; PNG; PRY; PER; PHL; POL; PRT; PRI; QAT; ROU; RUS; RUS; RWA; KNA; LCA; VCT; WSM; SMR; SAU; SEN; SYC; SLE; SGP; SVK; SVN; SLB; SOM; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; TWN; TJK; THA; TLS; TGO; TON; TTO; TUN; TUR; TKM; TUV; UGA; UKR; ARE; GBR; USA; URY; UZB; VUT; VNM; YEM; ZMB; ZWE; CUW; MNE; SRB; SSD; XKX, html,[IMF](https://twitter.com/IMFNews),Policy Tracker,national
OECD Covid Action Map,https://oecd.github.io/OECD-covid-action-map/,Macroeconomic and Financial Policy; Non-Pharmaceutical Interventions; Health and Care Policy," containment, health, fiscal, monetary",worldwide; ARG; AUS; AUT; BEL; BEN; BIH; BRA; BGR; BFA; CIV; CAN; CPV; TCD; CHL; CHN; COL; CRI; HRV; CZE; DNK; DOM; ECU; EGY; SLV; ERI; EST; ETH; EU; FIN; FRA; GMB; DEU; GHA; GRC; GTM; GIN; GNB; HUN; ISL; IND; IDN; IRL; ISR; ITA; JPN; KAZ; KEN; XKX; LVA; LBR; LTU; LUX; MYS; MLI; MRT; MUS; MEX; MNE; MAR; NLD; NZL; NER; NGA; MKD; NOR; PAN; PRY; PER; POL; PRT; ROU; RUS; RWA; SAU; SEN; SRB; SLE; SVK; SVN; ZAF; KOR; ESP; SWE; CHE; TZA; THA; TGO; TUN; TUR; UGA; UKR; ARE; GBR; USA; URY; VNM,xlsx,"[OECD](https://twitter.com/OECD);
    [OECD Economy](https://twitter.com/OECDeconomy);
    [OECD Social](https://twitter.com/OECD_Social);
    [OECD Tax](https://twitter.com/OECDtax)",Policy Tracker,national
COVID-19 Financial Response Tracker (CFRT),https://som.yale.edu/node/222278,Macroeconomic and Financial Policy," financial stability (incl. fiscal, monetary, macroprudential and liquidity measures)",worldwide; ARG; AUS; AUT; BEL; BRA; CAN; CHL; CHN; COL; DNK; EGY; EST; FIN; FRA; GEO; DEU; GRC; HKG; HUN; ISL; IND; IDN; IRL; ISR; ITA; JPN; KEN; LVA; MYS; MEX; NLD; NZL; NER; NGA; NOR; OMN; PER; PHL; ROU; RUS; SAU; SGP; ZAF; ESP; LKA; SWE; CHE; TWN; THA; TUR; UKR; ARE; GBR; USA; VNM,xlsx,[Yale School of Management](https://som.yale.edu/),Policy Tracker,national
Eastern Europe Coronavirus tracker,https://wiiw.ac.at/eastern-europe-coronavirus-tracker-economic-impact-rising-n-439.html,Macroeconomic and Financial Policy; Non-Pharmaceutical Interventions," fiscal, monetary, public order",ALB; BLR; BIH; BGR; HRV; CZE; EST; HUN; KAZ; LVA; LTU; MDA; MNE; MKD; POL; ROU, pdf; html,"[wiiw](https://twitter.com/wiiw_news);
        [Richard Grieveson](https://twitter.com/RicGri);
        [Julia Gruebler](https://twitter.com/JuliaGruebler);
        [Alexandra Bykova](https://twitter.com/alexbykova);
        [Mario Holzner](https://twitter.com/MarioHolzner)",Policy Tracker,national
IIF Global Policy Responses,https://www.iif.com/Portals/0/Files/Databases/COVID-19_responses.pdf?ver=2020-04-24-173749-083,Macroeconomic and Financial Policy, fiscal and monetary policy responses,worldwide; ARG; AUS; BRA; CAN; CHL; CHN; COL; CZE; EGY; FIN; FRA; DEU; HUN; IND; IDN; ITA; JPN; KAZ; KOR; MYS; MEX; MAR; NLD; NER; NGA; OMN; PER; PHL; POL; QAT; ROU; RUS; SAU; ZAF; ESP; SWE; THA; TUR; UKR; GBR; USA; UAE, pdf,[IIF](https://twitter.com/IIF),Policy Tracker,national
Bruegel fiscal policy dataset,https://t.co/XxHMpTlW9q?amp=1,Macroeconomic and Financial Policy, fiscal (3 categories: 1) fiscal impulse 2) deferrals 3) guarantees),Europe; EU; USA; BEL; DNK; FRA; DEU; GRC; HUN; ITA; ESP; GBR; USA, html,"[Zsolt Darvas](https://twitter.com/ZsoltDarvas);
        [Enrico Bergamini](https://twitter.com/BergaminiEnrico);
        [Marta Domínguez Jiménez](https://twitter.com/MartaDomnguezJ1)",Policy Tracker,national
EU and euro area level measures,https://www.europarl.europa.eu/RegData/etudes/IDAN/2020/645723/IPOL_IDA(2020)645723_EN.pdf,Macroeconomic and Financial Policy; Social and Employment Policy, measures proposed and taken at the EU or euro area level to mitigate the economic and social effects. This includes measures by the EC; EU Council; ECB; SSM; ESRB; EBA; EIB. EIF; EBRD., Europe; EU, pdf,[European Parliament](https://twitter.com/europarl_en),Policy Tracker,supranational
Economic Policy Response Map,https://sites.google.com/view/atanaspekanov/economic-policy-response-map,Macroeconomic and Financial Policy, fiscal and wider liquidity measures by  EU governments; European Commission; ECB, EU; AUT; BEL; DNK; EST; FIN; FRA; DEU; IRL; ITA; LVA; LTU; MLI; NLD; PRT; SVN; ESP, html,[Atanas Pekanov](https://twitter.com/atanaspekanov),Policy Tracker,national; supranational
COVID-19 Economic Stimulus Index,http://web.boun.edu.tr/elgin/COVID.htm,Macroeconomic and Financial Policy," fiscal, monetary & exchange rate measures",worldwide; AFG; ALB; DZA; AGO; ARG; ARM; AUS; AUT; AZE; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BTN; BOL; BWA; BRA; BGR; BFA; BDI; KHM; CMR; CAN; CAF; TCD; CHL; CHN; COL; COG; CRI; HRV; CYP; DNK; DJI; DMA; DOM; ECU; EGY; SLV; ERI; EST; ETH; FJI; FIN; FRA; GAB; GMB; GEO; DEU; GHA; GRC; GTM; GIN; GUY; HTI; HND; HKG; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KOR; KWT; LVA; LBN; LSO; LBR; LBY; LTU; LUX; MDG; MWI; MYS; MDV; MLI; MLT; MRT; MUS; MEX; MNG; MAR; MOZ; MMR; NAM; NPL; NLD; NZL; NIC; NER; NGA; NOR; OMN; PAK; PAN; PRY; PER; PHL; POL; PRT; QAT; ROU; RUS; RWA; SMR; SAU; SEN; SYC; SLE; SGP; SVN; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; TJK; THA; TGO; TON; TUN; TUR; TKM; UGA; UKR; URY; UZB; VNM; YEM; ZMB; ZWE; MNE; SRB; XKX; USA,xlsx,"[Ceyhun Elgin](https://twitter.com/CeyhunElgin);
        [Basbug Gokce](https://twitter.com/BasbugGokce);
        [Abdullah Yalaman](https://twitter.com/AbdullahYalaman)",Policy Tracker,national
COVID-19 Fiscal Response Tracker and world map,https://www.csis.org/analysis/breaking-down-g20-covid-19-fiscal-response,Macroeconomic and Financial Policy, breakdown of major fiscal actions,G20; ARG; AUS; BRA; CAN; CHN; FRA; DEU; IND; IDN; ITA; JPN; MEX; RUS; SAU; ZAF; TUR; GBR; USA, html,"[CSIS](https://twitter.com/CSIS);
  [CSIS Econ](https://twitter.com/CSIS_Econ);
  [Matthew Goodman](https://twitter.com/MPGoodman88);
  [H. Andrew Schwartz](https://twitter.com/handrewschwartz)",Policy Tracker,national
IMF Fiscal Monitor,https://lnks.gd/l/eyJhbGciOiJIUzI1NiJ9.eyJidWxsZXRpbl9saW5rX2lkIjoxMDgsInVyaSI6ImJwMjpjbGljayIsImJ1bGxldGluX2lkIjoiMjAyMDA1MjAuMjE3ODU5MjEiLCJ1cmwiOiJodHRwczovL3d3dy5pbWYub3JnL34vbWVkaWEvRmlsZXMvUHVibGljYXRpb25zL2Zpc2NhbC1tb25pdG9yLzIwMjAvQXByaWwvRW5nbGlzaC9vbmxpbmVhbm5leDExLmFzaHg_bGE9ZW4mdXRtX21lZGl1bT1lbWFpbCZ1dG1fc291cmNlPWdvdmRlbGl2ZXJ5In0.2kIn3Sr0Vxsxo63xijpm_Ma21ifxFSMYrhNztcJPD6M/br/78878540483-l,Macroeconomic and Financial Policy," key fiscal measures governments have announced or taken from January 1 to April 8, 2020, categorised by above-the-line measures, below-the-line measures, and guarantees",G20; ARG; AUS; BRA; CAN; CHN; FRA; DEU; IND; IDN; ITA; JPN; MEX; RUS; SAU; ZAF; TUR; GBR; USA, pdf,[IMF](https://twitter.com/IMFNews),Policy Tracker,national
Policy Responses to COVID-19 in Asia and the Pacific,https://www.unescap.org/covid19/policy-responses,Macroeconomic and Financial Policy; Non-Pharmaceutical Interventions; Trade Policy and FDI," non-pharmaceutical interventions; fiscal, monetary, financial and trade policy;",Asia; Pacific; AFG; ASM; ARM; AUS; AZE; BGD; BTN; BRN; KHM; CHN; COK; FJI; PYF; GEO; GUM; GIN; HKG; IND; IDN; JPN; KAZ; KIR; PRK; KOR; KGZ; MYS; MDV; MHL; MNG; MMR; NRU; NPL; NCL; NZL; NIU; MNP; PAK; PLW; PNG; PHL; RUS; WSM; SGP; SLB; LKA; TJK; THA; TLS; TON; TUR; TKM; TUV; UZB; VUT, html; pdf,"[United Nations ESCAP](https://twitter.com/UNESCAP);
[Sweta Saxena](https://twitter.com/sweta_saxena)",Policy Tracker,national
The Opportunity Insights Economic Tracker,https://tracker.opportunityinsights.org/,Macroeconomic and Financial Policy; Social and Employment Policy; Education Policy," real time tracking of employment, unemployment, consumer spending, job postings, small businesses openings and revenue, students online math coursework on the national and state-level", USA, html,"[Opportunity Insights](https://twitter.com/OppInsights);
Raj Chetty;
[John Friedman](https://twitter.com/John_N_Friedman);
[Nathaniel Hendren](https://twitter.com/nhendren82);
[Michael Stepner](https://twitter.com/michaelstepner)",Policy Tracker,national; sub-national
U.S. Economic Policy Response to Coronavirus Pandemic,https://messertodd.github.io/coronavirus-policy-response/,Macroeconomic and Financial Policy," economic policy responses, explanation of economic mechanisms at play and references to theory and academic readings on the implemented measures.", USA, html,"[Todd Messer](https://twitter.com/ToddOfMess);
    [Peter McCrory](https://twitter.com/PeterMcCrory)",Policy Tracker,national
